term-or-expression,explicit-or-implicit,pt-brazilian-portuguese,pt-contextual-label,pt-hate-label,pt-deeply-culture-rooted,en-american-english,en-contextual-label,en-hate-label,es-latin-spanish,es-contextual-label,es-hate-label,fr-african-french,fr-contextual-label,fr-hate-Label,ge-german,ge-contextual-label,ge-hate-Label,tu-turkish,tu-contextual-label,tu-hate-Label,Meaning Sources
term,explicit,abestalhado,1,0,0,stupidly,1,0,boquiabierto,,0,dévergondé,1,0,dumm ,1,0,aptal,1,0,https://michaelis.uol.com.br/palavra/eKy/abestalhado/
term,explicit,falsiane,1,0,0,fake,1,0,falsedad,,0,0,0,0,falsch,1,0,sahte,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fake
expression,explicit,dar moral,0,0,0,bolster,0,0,mantener el ánimo,,0,remonter le moral des troupes,0,0,0,0,0,desteklemek,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/bolster
expression,explicit,dando moral,0,0,0,bolstering,0,0,darle ánimo,,0,moralisant,0,0,Moralapostel,0,0,moral vermek,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/bolster?q=bolstering
term,explicit,peppa,0,fatphobia,0,pig,0,fatphobia,0,,fatphobia,0,0,0,Schwein,0,fatphobia,0,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/pig
term,explicit,pepa,0,fatphobia,0,pig,0,fatphobia,0,,fatphobia,0,0,0,Schein,0,fatphobia,0,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/pig
term,explicit,pepinha,0,fatphobia,0,piggy,0,fatphobia,0,,fatphobia,0,0,0,Sau,0,fatphobia,0,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/piggy?q=piggie
term,explicit,moçoila,0,0,1,twink,0,0,mujercita,,0,fille,0,0,(richtiges) Mädchen,0,0,0,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/twink
expression,explicit,cabeça de vento,1,0,0,light-headed,1,0,cabeza hueca,,0,tête en l'air,1,0,hohlkopf,1,0,şapşal,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/light-headed
term,explicit,falida,0,0,0,broken,0,0,arruinada,,0,faillite,0,0,kaputt,0,0,bozuk,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/broken
expression,explicit,caçar o que fazer,1,0,0,to get yourself into,1,0,cazar o que hacer,,0,chasser ce qu'il faut faire,1,0,0,0,0,ne yapacağını bilmek,1,0,"https://plainenglish.com/expressions/to-get-yourself-into/#:~:text=We%20usually%20say%20%E2%80%9Cget%20yourself,more%20than%20you%20thought%20originally."
expression,explicit,berço de ouro,0,0,0,born with a silver spoon in,0,0,cuna de oro,,0,berceau doré,0,0,mit dem goldenen Löffel im Mund geboren sein ,0,0,0,0,0,"https://idioms.thefreedictionary.com/born+with+a+silver+spoon+in+his+mouth#:~:text=born%20with%20a%20silver%20spoon%20in%20your%20mouth,silver%20spoon%20in%20his%20mouth."
expression,explicit,bode expiatório,1,0,0,scapegoat,1,0,chivo expiatório,,0,bouc émissaire,1,0,Sündenbock,1,0,günah keçisi,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/scapegoat
expression,explicit,sem noção,0,0,0,reckless,0,0,sin noción,,0,ignorant,0,0,Ahnungsloser,0,0,beceriksiz,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/reckless
term,explicit,porcaria,1,0,0,crap,1,0,porquería,,0,pacotille,1,0,Schrott / Müll,1,0,saçmalık,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/crap
expression,explicit,dar ibope,0,0,0,waste time ,0,0,da que hablar,,0,obtenir beaucoup de publicité,0,0,Aufmerksamkeitsgeil,0,0,zaman kaybı,0,0,"https://idioms.thefreedictionary.com/waste+time#:~:text=To%20procrastinate%3B%20to%20avoid%20doing,get%20on%20with%20your%20presentation!"
expression,explicit,dá ibope,0,0,0,talk of the town,0,0,es popular,,0,c'est populaire,0,0,Aufmerksamkeitsgeil,0,0,popüler,0,0,"https://www.merriam-webster.com/dictionary/the%20talk%20of%20the%20town#:~:text=Definition%20of%20the%20talk%20of,the%20talk%20of%20the%20town."
expression,explicit,encher o saco,0,0,0,push one's buttons,0,0,romper las pelotas,,0,s'ennuyer,0,0,Langweiler,0,0,alay etmek,0,0,"https://www.merriam-webster.com/dictionary/push%20one%27s%20buttons#:~:text=Definition%20of%20push%20one's%20buttons&text=%3A%20to%20do%20or%20say%20something,trying%20to%20push%20your%20buttons."
expression,explicit,encheu o saco,0,0,0,i've had it ,0,0,irritar,,0,s'ennuyer,0,0,Langweiler,0,0,alay etmek,0,0,"https://idioms.thefreedictionary.com/have+had+it#:~:text=If%20you%20say%20that%20you,I've%20had%20it."
expression,explicit,socialista de iPhone,1,partyism,1,iPhone-stan socilalist,1,partyism,socialista de iPhone,,partyism,iPhone socialiste,1,partyism,0,0,0,iPhone sosyalisti,1,partyism,"""expression used to refer to - fake socialists"""
term,explicit,doutrinado,1,0,0,blind,1,0,adoctrinado,,0,endoctriné,1,0,0,0,0,aşılanmış,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/blind
term,explicit,doutrinada,1,0,0,blind,1,0,adoctrinada,,0,endoctriné,1,0,0,0,0,aşılanmış,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/blind
term,explicit,coitado,1,0,0,poor man,1,0,pobre,,0,pauvre,1,0,Armer Mann / Unterschicht,1,0,0,0,0,http://michaelis.uol.com.br/busca?r=0&f=0&t=0&palavra=coitado
term,explicit,coitada,1,0,0,poor woman,1,0,pobre,,0,pauvre,1,0,Arme Frau / Unterschicht,1,0,0,0,0,http://michaelis.uol.com.br/busca?r=0&f=0&t=0&palavra=coitado
term,explicit,esquerdopatia,1,partyism,1,libtard,1,partyism,izquierdopata,,partyism,0,0,0,0,0,0,solculuk,1,partyism,https://dictionary.cambridge.org/pt/dicionario/ingles/libtard
term,explicit,inescrupuloso,1,0,0,reckless,1,0,inescrupuloso,,0,sans scrupules,1,0,Skrupellos,1,0,vijdansız,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/inescrupuloso/
expression,explicit,se lixando,1,0,0,not giving a fuck,1,0,no le importas,,0,se foutre de tout,1,0,keinen scheiß geben / sich einen Dreck drum scheren,1,0,siklememek,1,0,"https://idioms.thefreedictionary.com/I+don%27t+give+a+fuck#:~:text=rude%20slang%20An%20expression%20of,Not%20everything%20is%20about%20you."
term,explicit,aff,1,0,0,ugh,1,0,Adult FriendFinder,,0,0,0,0,0,0,0,öf,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/ugh
term,explicit,picareta,1,0,0,sucker,1,0,0,,0,pioche,1,0,Lutscher,1,0,piç,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/picareta/
expression,explicit,não sabe nada,0,0,0,dumb,0,0,no sabe nada,,0,ne connaît rien,0,0,von nichts wissen,0,0,aptal,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/dumb
term,explicit,aborrecente,1,0,0,stupid teenagers,1,0,molestando,,0,s'ennuyer,1,0,sich langweilen,1,0,aptal gençler,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/Aborrecente/
term,explicit,jogando sujo,1,0,0,play dirty,1,0,jugando sucio,,0,jouer sale,1,0,0,0,0,kirli oynamak,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/play-dirty
term,explicit,bagaceiro,1,0,0,trashdigger,1,0,orujo,,0,0,0,0,Mülltaucher,1,0,çöp karıştırıcı,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/bagaceiro/
expression,explicit,idiota útil,1,0,0,puppet,1,0,idiota útil,,0,idiot utile,1,0,Marionetten,1,0,kukla,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/puppet?q=puppets
term,explicit,fedelha,1,0,0,nosey kid,1,0,mocosa,,0,morveux,1,0,Schreihals,1,0,velet,1,0,https://michaelis.uol.com.br/palavra/oaLL/fedelho/
expression,explicit,meter o nariz,1,0,0,nose in the air,1,0,meter la nariz,,0,mettre son nez dedans,1,0,0,0,0,burnunu sokmak,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/nose-in-the-air?q=nose+in
expression,explicit,metendo o nariz,1,0,0,nosing in the air,1,0,metiendo la nariz,,0,mettre son nez dedans,1,0,0,0,0,burnunu sokma,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/nose-in-the-air?q=nose+in
expression,explicit,meteu o nariz,1,0,0,nose in the air,1,0,metió la nariz,,0,a fourré son nez dans,1,0,0,0,0,burnunu soktu,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/nose-in-the-air?q=nose+in
term,explicit,cagada,0,0,0,dumb luck,0,0,cagada,,0,merde,0,0,0,0,0,sıçma,0,0,https://www.collinsdictionary.com/submission/7544/Dumb+luck
expression,explicit,puxa saco,0,0,0,ass kisser,0,0,adulador,,0,tireur de sacs,0,0,Arschkriecher,0,0,yalaka,0,0,https://www.collinsdictionary.com/pt/dictionary/english/ass-kisser
expression,explicit,zé mané,1,0,0,dumbass,1,0,puto demente,,0,imbécile,1,0,Vollidiot,1,0,salak herif,1,0,"https://www.dicionarioinformal.com.br/z%C3%A9%20man%C3%A9/#:~:text=1.,Z%C3%A9%20man%C3%A9&text=Sujeito%20desprovido%20de%20razo%C3%A1vel%20intelecto,%C3%A9%20um%20verdadeiro%20z%C3%A9%20man%C3%A9."
term,explicit,famosinha,1,0,0,it-girl,1,0,0,,0,0,0,0,Zicke,1,0,0,0,0,https://www.collinsdictionary.com/pt/dictionary/english/it-girl
term,explicit,gorda,1,fatphobia,0,fat,1,fatphobia,gorda,,fatphobia,graisse,1,fatphobia,fett,1,fatphobia,şişman,1,fatphobia,https://www.collinsdictionary.com/pt/dictionary/english/fat
expression,explicit,chata pra cacete,1,0,0,fucking annoying,1,0,aburrido como la mierda,,0,ennuyeux à mourir,1,0,fucking nervig,1,0,lanet gibi rahatsız edici,1,0,https://dictionary.reverso.net/english-cobuild/fucking+annoying
expression,explicit,pé no saco,0,0,0,lingerer ,0,0,molestia,,0,casse-pieds,0,0,0,0,0,baş belası,0,0,https://www.dicionarioinformal.com.br/p%E9+no+saco/
term,explicit,mimadinha,1,0,0,spoiled,1,0,niña mimada,,0,choyé,1,0,verzogen,1,0,şımarık kız,1,0,https://www.collinsdictionary.com/pt/dictionary/english/spoiled
expression,explicit,bla bla bla,0,0,0,jibber jabber,0,0,bla bla bla,,0,bla bla bla,0,0,Geschwafel,0,0,boş laf,0,0,https://www.dicionarioinformal.com.br/bl%C3%A1%20bl%C3%A1%20bl%C3%A1/
expression,explicit,blablabla,0,0,0,jibber jabber,0,0,blablabla,,0,bla bla bla,0,0,Geschwafel,0,0,boş laf,0,0,https://www.collinsdictionary.com/pt/dictionary/english/jibber-jabber
term,explicit,borra botas,1,0,0,botcher,1,0,siervo,,0,boue de botte,1,0,Pfuscher,1,0,beceriksiz,1,0,https://www.collinsdictionary.com/pt/dictionary/english/botch
term,explicit,borra-botas,1,0,0,botcher,1,0,siervo,,0,Amorçage,1,0,Pfuscherin,1,0,beceriksiz,1,0,https://www.collinsdictionary.com/pt/dictionary/english/botch
term,explicit,mocosa,0,0,0,light-footed,0,0,mocosa,,0,0,0,0,0,0,0,0,0,0,"https://www.merriam-webster.com/dictionary/light-footed#:~:text=Definition%20of%20light%2Dfooted,and%20nimbly%20light%2Dfooted%20prose"
term,explicit,débil,0,0,0,dumb,0,0,debil,,0,faible,0,0,dumm ,0,0,sümsük,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/dumb
term,explicit,farça,1,0,0,fake,1,0,farsa,,0,0,0,0,falsch sein,1,0,sahte,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fake
term,explicit,absurdo,0,0,0,absurd,0,0,absurdo,,0,bêtises.,0,0,absurd,0,0,saçma,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/absurd
expression,explicit,papagaio ambulante,1,0,0,tattletale,1,0,ambulante,,0,perroquet ambulant,1,0,Petze,1,0,dedikoducu,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/tattletale
expression,explicit,conversa fiada,1,0,0,jibber jabber,1,0,cháchara,,0,bavardages,1,0,Geschwafel,1,0,gevezelik,1,0,https://www.collinsdictionary.com/pt/dictionary/english/jibber-jabber
term,explicit,oportunista,1,0,0,vulture,1,0,oportunista,,0,opportuniste,1,0,Geier,1,0,fırsatçı,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/vulture
term,explicit,interesseiro,1,0,0,selfish,1,0,cazafortunas,,0,Intéressé,1,0,selbstsüchtig,1,0,düzenbaz,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/selfish
term,explicit,ranço,1,0,0,despise,1,0,rancio,,0,0,0,0,verachten ,1,0,hor görmek,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/despise
term,explicit,ranso,1,0,0,despise,1,0,rancio,,0,0,0,0,verachten,1,0,hor görmek,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/despise
term,explicit,gado,0,0,0,sheep,0,0,ganado,,0,bovins,0,0,Mitläufer,0,0,sığırlar,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/sheep
expression,explicit,gado marcado,0,0,0,sheep,0,0,ganado marcado,,0,bovins marqués,0,0,Mitläufer,0,0,işaretlenmiş sığır,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/sheep
term,explicit,feio,1,0,0,ugly,1,0,feo,,0,laid,1,0,0,0,0,çirkin,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/ugly
term,explicit,feia,1,0,0,ugly,1,0,fea,,0,laid,1,0,0,0,0,çirkin,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/ugly
term,explicit,birrinha,0,0,0,pettiness,0,0,berrinche,,0,crise de rage,0,0,schadenfroh sein,0,0,adilik,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/pettiness
term,explicit,palhaçada,0,0,0,fuckery,0,0,payasada,,0,pitrerie,0,0,0,0,0,soytarılık etmek,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/palha%C3%A7ada/
term,explicit,palhaço,0,0,0,clown,0,0,payaso,,0,clown,0,0,Clown,0,0,paylaço,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/clown
term,explicit,palhaça,0,0,0,clown,0,0,payasa,,0,clown,0,0,Clown,0,0,şakacı,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/clown
expression,explicit,boneca de ventríloquo,0,0,0,ventriloquist puppet,0,0,muñeca de ventrílocuo,,0,poupée de ventriloque,0,0,0,0,0,vantrilok bebek,0,0,"https://www.collinsdictionary.com/dictionary/english/ventriloquists-dummy#:~:text=(v%C9%9Bn%CB%88tr%C9%AAl%C9%99kw%C9%AAsts%20%CB%88d%CA%8Cm%C9%AA%20),made%20to%20appear%20to%20talk"
term,explicit,pertubada,1,0,0,off,1,0,perturbada,,0,pertubé,1,0,0,0,0,rahatsız,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/off
term,explicit,pertubado,1,0,0,off,1,0,perturbado,,0,pertubé,1,0,0,0,0,rahatsız,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/off
term,explicit,mijona,1,0,0,wimp,1,0,meona,,0,0,0,0,Schwächling,1,0,korkak,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/wimp
expression,explicit,meter o bedelho,1,0,0,schnoz,1,0,husmear,,0,faire pression sur,1,0,die Nase in anderer Leuts angelegenheiten stecken,1,0,burnunu sokmak,1,0,"https://www.merriam-webster.com/dictionary/schnoz#:~:text=Definition%20of%20schnoz,virus%20particles%20from%20your%20schnozz.%E2%80%94"
expression,explicit,metida a certinha,1,0,0,prude,1,0,0,,0,coincé,1,0,Prüde,1,0,namus düşkünü,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/prude
expression,explicit,esse tal,0,0,0,this kind of people,0,0,ese tipo,,0,une telle,0,0,0,0,0,bu,0,0,https://forum.wordreference.com/threads/this-kind-of-people-vs-these-kinds-of-people.3225132/
expression,explicit,esse tal,0,0,0,this kind of people,0,0,ese tipo,,0,un tel,0,0,0,0,0,bu,0,0,https://forum.wordreference.com/threads/this-kind-of-people-vs-these-kinds-of-people.3225132/
term,explicit,riquinha,1,0,0,posh,1,0,niña rica,,0,0,0,0,piekfein / augetackelt,1,0,0,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/ignorant
term,explicit,ignorante,1,0,0,ignorant,1,0,ignorante,,0,ignorante,1,0,Ignorant ,1,0,cahil,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ignorante/
term,explicit,riquinho,1,0,0,posh,1,0,niño rico,,0,riche,1,0,piekfein / aufgetackelt,1,0,0,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/posh
term,explicit,insignificante,0,0,0,worthless,0,0,insignificante,,0,insignifiant,0,0,wertlos,0,0,önemsiz,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/worthless
expression,explicit,feia dos infernos,1,0,0,fuck ugly,1,0,feo de los infiernos,,0,horriblement laid,1,0,scheiße hässlich sein,1,0,cehennem gibi çirkin,1,0,https://www.urbandictionary.com/define.php?term=fuck%20ugly
expression,explicit,feio dos infernos,1,0,0,fuck ugly,1,0,fea de los infiernos,,0,horriblement laid,1,0,scheiße hässlich sein,1,0,cehennem gibi çirkin,1,0,https://www.urbandictionary.com/define.php?term=fuck%20ugly
term,explicit,bandida,1,0,0,scammer,1,0,bandida,,0,bandit,1,0,Betrüger,1,0,dolandırıcı,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/scammer
term,explicit,malparida,1,0,0,bastard,1,0,malparida,,0,0,0,0,Bastard,1,0,piç,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/bastard
expression,explicit,besta quadrada,1,0,0,jerk,1,0,limpiatraseros,,0,bête noire,1,0,Idiot,1,0,lavuk,1,0,https://dicionario.priberam.org/besta%20quadrada
term,explicit,vaca,0,sexism,0,bitch,0,sexism,perra,,sexism,vache,0,sexism,Schlampe,0,sexism,nahoş kadın,0,sexism,https://dictionary.cambridge.org/pt/dicionario/ingles/bitch
term,explicit,esquerdista,1,partyism,0,leftist,1,partyism,izquierdista,,partyism,gauchiste,1,partyism,0,0,0,solcu,1,partyism,https://dictionary.cambridge.org/pt/dicionario/ingles/leftist
expression,explicit,plantar batata,0,0,0,go get a life,0,0,plantar papas,,0,planter des pommes de terre,0,0,0,0,0,patates bitkisi,0,0,https://www.urbandictionary.com/define.php?term=Go%20Get%20A%20Life
expression,explicit,puta que pariu,1,0,0,holy fuck,1,0,puta que parió,,0,enfoiré,1,0,heilige Scheiße,1,0,kahrolası kaltak,1,0,"https://en.wiktionary.org/wiki/holy_fuck#:~:text=(idiomatic%2C%20vulgar%20slang)%20Expression,%2C%20surprise%2C%20shock%2C%20etc."
expression,explicit,puta que a pariu,1,0,0,holy fuck,1,0,puta que la parió,,0,putain de merde,1,0,heilige Scheiße,1,0,kahrolası kaltak,1,0,"https://en.wiktionary.org/wiki/holy_fuck#:~:text=(idiomatic%2C%20vulgar%20slang)%20Expression,%2C%20surprise%2C%20shock%2C%20etc."
term,explicit,mulherzinha,1,partyism,0,pussy,1,partyism,mujercita,,partyism,petite dame,1,partyism,pussy,1,partyism,küçük kadın,1,partyism,https://dictionary.cambridge.org/pt/dicionario/ingles/pussy
expression,explicit,só pensam no próprio rabo,1,0,0,you selfish fuck,1,0,solo piensan en su propio rabo,,0,ils ne pensent qu'à leur propre cul,1,0,selbstsüchtiger Spast,1,0,kendi çıkarını düşünen,1,0,https://www.urbandictionary.com/define.php?term=you%20selfish%20fuck
term,explicit,cretina,1,0,0,prick,1,0,cretina,,0,crétin,1,0,Dummkopf ,1,0,salak,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cretino/
term,explicit,cretino,1,0,0,prick,1,0,cretino,,0,crétin,1,0,Dummkopf ,1,0,salak,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/prick
expression,explicit,mal caráter,1,0,0,con,1,0,mal carácter,,0,mauvais caractère,1,0,0,0,0,kötü karakter,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/con
expression,explicit,mal catarismo ,1,0,0,scramming,1,0,0,,0,0,0,0,betrügen,1,0,sahtekarlık,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/scram?q=scramming
expression,explicit,não têm caráter,1,0,0,con,1,0,no tiene carácter,,0,n'ont aucune personnalité,1,0,betrügerisch,1,0,karaktersiz,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/con
expression,explicit,sem caráter,1,0,0,spineless,1,0,sin carácter,,0,sans personnalité,1,0,Rückgratslos,1,0,omurgasız,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/spineless
expression,explicit,tetinha secou,1,0,1,free ride long enough,1,0,0,,0,0,0,0,0,0,0,kurutulmuş emzik,1,0,https://inglesnoteclado.com.br/2019/09/como-dizer-mamata-em-ingles-moleza-vida-mansa.html
term,explicit,farsante,1,0,0,scammer,1,0,farsante,,0,farce,1,0,Betrüger,1,0,sahtekar,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/scammer
term,explicit,mutreta,1,0,0,scam,1,0,truco,,0,manigances,1,0,Betrug,1,0,dolandırıcılık,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/mutreta/
term,explicit,sapatona,1,homophobia,0,butch,1,homophobia,zapatona,,homophobia,0,0,0,0,0,0,erkek fatma,1,homophobia,https://dictionary.cambridge.org/pt/dicionario/ingles/butch
term,explicit,sapatão,0,homophobia,0,dyke,0,homophobia,zapatón,,homophobia,pantoufle,0,homophobia,0,0,0,erkeksi lezbiyen,0,homophobia,https://dictionary.cambridge.org/pt/dicionario/ingles/dyke
term,explicit,imbecibilidade,1,0,0,fuckery,1,0,imbecilidad,,0,imbécillité,1,0,0,0,0,vijdansızlık,1,0,"https://en.wiktionary.org/wiki/fuckery#:~:text=(vulgar%2C%20slang%2C%20uncountable)%20Sexual%20intercourse.,unfair%20or%20morally%20wrong%20action."
term,explicit,barriguda,1,fatphobia,0,hog body,1,fatphobia,barriguda,,fatphobia,ventre,1,fatphobia,0,0,0,keş,1,fatphobia,https://www.urbandictionary.com/define.php?term=Hog%20Body
term,explicit,surra,0,0,0,beat off,0,0,paliza,,0,battant,0,0,0,0,0,dayak,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/beat-off
term,explicit,descarada,1,0,0,shameless,1,0,descarada,,0,éhontée,1,0,schamlos,1,0,utanmaz,1,0,https://www.dicio.com.br/descarada/
term,explicit,descarado,1,0,0,shameless,1,0,descarado,,0,effronté,1,0,schamlos,1,0,utanmaz,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/descarado/
term,explicit,rapariga,0,sexism,0,bitch,0,sexism,chica,,sexism,fille,0,sexism,Schlampe,0,sexism,sürtük,0,sexism,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/rapariga/
expression,explicit,lama podre,0,0,0,mud,0,0,fango podrido,,0,boue pourrie,0,0,Dreck,0,0,tiksinilen şey,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/mud
term,explicit,porca,0,fatphobia,0,pig,0,fatphobia,puerca,,fatphobia,écrou,0,fatphobia,Schwein / Sau,0,fatphobia,yetişkin dişi domuz,0,fatphobia,https://dictionary.cambridge.org/pt/dicionario/ingles/pig
term,explicit,porco,0,fatphobia,0,pig,0,fatphobia,puerco,,fatphobia,cochon,0,fatphobia,Schwein / Sau,0,fatphobia,domuz,0,fatphobia,https://dictionary.cambridge.org/pt/dicionario/ingles/pig
expression,explicit,cuidar da sua vida,1,0,0,mind your own business,1,0,cuida de tu vida,,0,Occupe-toi de tes affaires,1,0,Kümmer dich um deinen eigenen Kram,1,0,kendi işine bakmak,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/mind-your-own-business
term,explicit,horrorosa,1,0,0,horrendous,1,0,horrorosa,,0,horribles,1,0,abscheulich,1,0,korkunç,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/horrendous
term,explicit,horroroso,1,0,0,horrendous,1,0,horroroso,,0,horribles,1,0,abscheulich,1,0,korkunç,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/horrendous
term,explicit,suja,0,0,0,dirtbag,0,0,sucia,,0,sale,0,0,Drecksack,0,0,pislik herif,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/dirtbag
term,explicit,sujo,0,0,0,dirtbag,0,0,sucio,,0,sale,0,0,Drecksack,0,0,pislik herif,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/dirtbag
term,explicit,falso,0,0,0,fake,0,0,falso,,0,fausse,0,0,falsch sein,0,0,yanıltıcı,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/falso/
term,explicit,falsa,0,0,0,fake,0,0,falsa,,0,fausse,0,0,falsch sein,0,0,sahte,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/falso/
expression,explicit,comia toco,1,0,0,fuck you,1,0,0,,0,a mangé la souche,1,0,0,0,0,(birini) canlı yemek,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+you
expression,explicit,vai te catar,1,0,0,drop dead,1,0,0,,0,Va te faire foutre !,1,0,tot umfallen,1,0,kıçına girsin,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/drop-dead
expression,explicit,lixo ideológico,1,partyism,0,ideological garbage,1,partyism,basura ideológica,,partyism,déchets idéologiques,1,partyism,idiolistischer scheiß,1,partyism,ideolojik çöp,1,partyism,https://dictionary.cambridge.org/pt/dicionario/ingles/ideological
term,explicit,cachorra,0,sexism,0,bitch,0,sexism,perra,,sexism,chien,0,sexism,Schlampe,0,sexism,şıllık,0,sexism,https://dictionary.cambridge.org/pt/dicionario/ingles/bitch
term,explicit,cachorrona,1,sexism,0,even a big bitch,1,sexism,perruna,,sexism,chiot,1,sexism,Schlampe,1,sexism,sürtük,1,sexism,https://context.reverso.net/traducao/ingles-portugues/Even+a+big+bitch
term,explicit,demagoga,0,0,0,demagogue,0,0,exagerar,,0,démagogue,0,0,0,0,0,demogog,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/demagogue
term,explicit,demagogo,0,0,0,demagogue,0,0,demagogo,,0,démagogue,0,0,0,0,0,demogog,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/demagogue
term,explicit,demagogia,0,0,0,demagogy,0,0,demagogia,,0,demagogia,0,0,0,0,0,demogoji,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/demagogy
term,explicit,cachaceiro,1,0,0,drunktard,1,0,borracho,,0,0,0,0,Trunkenbold,1,0,ayyaş,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cachaceiro/
expression,explicit,raposa velhaca,1,0,0,old fox,1,0,0,,0,vieux renard,1,0,0,0,0,kurnaz hergele,1,0,"https://en.wikipedia.org/wiki/Old_fox#:~:text=Old%20fox%20(Persian%3A%20%D8%B1%D9%88%D8%A8%D8%A7%D9%87%20%D9%BE%DB%8C%D8%B1,society%2C%20media%2C%20and%20newspapers."
expression,explicit,farinha do mesmo saco,1,0,0,birds of a feather,1,0,harina del mismo saco,,0,farine de blé tendre,1,0,0,0,0,huyu suyu bir olanlar,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/birds-of-a-feather
expression,explicit,farinha do msm saco,1,0,0,birds of a feather,1,0,harina del mismo saco,,0,0,0,0,0,0,0,huyu suyu bir olanlar,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/birds-of-a-feather
