Portuguese (original),American English,Latin Spanish,African French,German,Turkish,Type,Class,Hate Target
mocosa,lightfeet,mocosa,0,0,0,offensive,0,0
débil,dumb,debil,faible,dumm ,sümsük,offensive,0,0
farça,fake,farsa,0,falsch sein,sahte,offensive,1,0
absurdo,absurd,absurdo,bêtises.,absurd,saçma,offensive,0,0
maria ninguém,nobody,desconocida,0,ein niemand sein ,hiçkimse olmak,offensive,1,0
papagaio ambulante,tattletale,ambulante,perroquet ambulant,Petze,dedikoducu,offensive,1,0
conversa fiada,jibber jabber,cháchara,bavardages,Geschwafel,gevezelik,offensive,1,0
oportunista,vulture,oportunista,opportuniste,Geier,fırsatçı,offensive,1,0
interesseiro,selfish,cazafortunas,Intéressé,selbstsüchtig,düzenbaz,offensive,1,0
ranço,despise,rancio,0,verachten ,hor görmek,offensive,1,0
ranso,despise,rancio,0,verachten,hor görmek,offensive,1,0
gado,sheep,ganado,bovins,Mitläufer,sığırlar,offensive,0,0
gado marcado,sheep,ganado marcado,bovins marqués,Mitläufer,işaretlenmiş sığır,offensive,0,0
feio,ungly,feo,laid,0,çirkin,offensive,1,0
feia,ungly,fea,laid,0,çirkin,offensive,1,0
birrinha,pettiness,berrinche,crise de rage,schadenfroh sein,adilik,offensive,0,0
palhaçada,fuckery,payasada,pitrerie,0,soytarılık etmek,offensive,0,0
palhaço,clown,payaso,clown,Clown,paylaço,offensive,0,0
palhaça,clown,payasa,clown,Clown,şakacı,offensive,0,0
boneca de ventríloquo,ventroloquist pupet,muñeca de ventrílocuo,poupée de ventriloque,0,vantrilok bebek,offensive,0,0
pertubada,off,perturbada,pertubé,0,rahatsız,offensive,1,0
pertubado,off,perturbado,pertubé,0,rahatsız,offensive,1,0
mijona,wimp,meona,0,Schwächling,korkak,offensive,1,0
meter o bedelho,to nose in,husmear,faire pression sur,die Nase in anderer Leuts angelegenheiten stecken,burnunu sokmak,offensive,1,0
metida a certinha,prude,0,coincé,Prüde,namus düşkünü,offensive,1,0
esse tal,this / that,ese tipo,une telle,0,0,offensive,0,0
esse tal,this / that,ese tipo,un tel,0,0,offensive,0,0
riquinha,posh,niña rica,0,piekfein / augetackelt,0,offensive,1,0
ignorante,ignorant,ignorante,ignorante,Ignorant ,cahil,offensive,1,0
riquinho,posh,niño rico,riche,piekfein / aufgetackelt,0,offensive,1,0
insignificante,worthless,insignificante,insignifiant,wertlos,önemsiz,offensive,0,0
feia dos infernos,fucking ugly,feo de los infiernos,horriblement laid,scheiße hässlich sein,cehennem gibi çirkin,offensive,1,0
feio dos infernos,fucking ugly,fea de los infiernos,horriblement laid,scheiße hässlich sein,cehennem gibi çirkin,offensive,1,0
bandida,scammer,bandida,bandit,Betrüger,dolandırıcı,offensive,1,0
malparida,bastard,malparida,0,Bastard,piç,offensive,1,0
besta quadrada,jerk,limpiatraseros,bête noire,Idiot,lavuk,offensive,1,0
vaca,bitch,perra,vache,Schlampe,nahoş kadın,offensive,0,sexism
esquerdista,leftist,izquierdista,gauchiste,0,solcu,offensive,1,partyism
plantar batata,go find something to do,plantar papas,planter des pommes de terre,0,patates bitkisi,offensive,0,0
puta que pariu,holy fuck,puta que parió,enfoiré,heilige Scheiße,kahrolası kaltak,swear words,1,0
puta que a pariu,holy fuck,puta que la parió,putain de merde,heilige Scheiße,kahrolası kaltak,swear words,1,0
mulherzinha,pussy,mujercita,petite dame,pussy,küçük kadın,offensive,1,partyism
só pensam no próprio rabo,selfish fuck,solo piensan en su propio rabo,ils ne pensent qu'à leur propre cul,selbstsüchtiger Spast,kendi çıkarını düşünen,swear words,1,0
cretina,prick,cretina,crétin,Dummkopf ,salak,offensive,1,0
cretino,prick,cretino,crétin,Dummkopf ,salak,offensive,1,0
mal caráter,con,mal carácter,mauvais caractère,0,kötü karakter,offensive,1,0
mal catarismo ,scamming,0,0,betrügen,sahtekarlık,offensive,1,0
não têm caráter,con,no tiene carácter,n'ont aucune personnalité,betrügerisch,karaktersiz,offensive,1,0
sem caráter,spineless,sin carácter,sans personnalité,Rückgratslos,omurgasız,offensive,1,0
tetinha secou,no milk left in these tities,0,0,0,kurutulmuş emzik,offensive,1,0
farsante,scammer,farsante,farce,Betrüger,sahtekar,offensive,1,0
cara de homem,rough face,cara de hombre,visage de l'homme,Hackfresse,erkek suratlı,offensive,1,sexism
joga uma carteira de trabalho que correm todos,a work permit for everyone to run away from,juega una cartera de trabajo que todos corremos,Ajoutez-y un portfolio de travail et ils courent tous.,,0,offensive,1,0
mutreta,scam,truco,manigances,Betrug,dolandırıcılık,offensive,1,0
sapatona,butch,zapatona,0,0,erkek fatma,offensive,1,homophobia
sapatão,dyke,zapatón,pantoufle,0,erkeksi lezbiyen,offensive,0,homophobia
imbecibilidade,fuckery,imbecilidad,imbécillité,0,vijdansızlık,offensive,1,0
óleo de peroba,shameless,0,huile de peroba,schamlos,utanmaz,offensive,0,0
barriguda,hog body,barriguda,ventre,0,keş,offensive,1,fatphobia
surra,beat off,paliza,battant,0,dayak,offensive,0,0
descarada,shameless,descarada,éhontée,schamlos,utanmaz,offensive,1,0
descarado,shameless,descarado,effronté,schamlos,utanmaz,offensive,1,0
rapariga,bitch,chica,fille,Schlampe,sürtük,offensive,0,sexism
lama podre,mud,fango podrido,boue pourrie,Dreck,tiksinilen şey,offensive,0,0
porca,pig,puerca,écrou,Schwein / Sau,yetişkin dişi domuz,offensive,0,fatphobia
porco,pig,puerco,cochon,Schwein / Sau,domuz,offensive,0,fatphobia
cuidar da sua vida,mind your own business,cuida de tu vida,Occupe-toi de tes affaires,Kümmer dich um deinen eigenen Kram,kendi işine bakmak,offensive,1,0
horrorosa,horrendous,horrorosa,horribles,abscheulich,korkunç,offensive,1,0
horroroso,horrendous,horroroso,horribles,abscheulich,korkunç,offensive,1,0
suja,dirtbag,sucia,sale,Drecksack,pislik herif,offensive,0,0
sujo,dirtbag,sucio,sale,Drecksack,pislik herif,offensive,0,0
falso,fake,falso,fausse,falsch sein,yanıltıcı,offensive,0,0
falsa,fake,falsa,fausse,falsch sein,sahte,offensive,0,0
comia toco,eat [someone] alive,0,a mangé la souche,0,0,swear words,1,0
vai te catar,drop dead,0,Va te faire foutre !,tot umfallen,kıçına girsin,swear words,1,0
lixo ideológico,ideological trash,basura ideológica,déchets idéologiques,idiolistischer scheiß,ideolojik çöp,offensive,1,partyism
cachorra,bitch,perra,chien,Schlampe,şıllık,offensive,0,sexism
cachorrona,big bitch,perruna,chiot,Schlampe,sürtük,offensive,1,sexism
moças que ficam na rodovia,ladies of the night (hoes),chicas de la calle,les filles qui restent sur l'autoroute,Prostituierte,fahişe,offensive/Brazil,1,sexism
demagoga,demagogue,exagerar,démagogue,0,demogog,offensive,0,0
demagogo,demagogue,demagogo,démagogue,0,demogog,offensive,0,0
demagogia,demagogy,demagogia,demagogia,0,demogoji,offensive,0,0
cachaceiro,drunktard,borracho,0,Trunkenbold,ayyaş,offensive,1,0
raposa velhaca,old fox,0,vieux renard,0,kurnaz hergele,offensive,1,0
farinha do mesmo saco,birds of a feather,harina del mismo saco,farine de blé tendre,0,0,offensive,1,0
farinha do msm saco,birds of a feather,harina del mismo saco,0,0,0,offensive,1,0
maracutaia,scam,0,0,Betrug,dalavere,offensive,1,0
raça de vibora,viper,raza de vibora,0,falsche Schlange,engerek soyu,offensive,1,0
ela tem pena,slut,ella tiene pena,elle a de la pitié,Schlampe,sürtük,offensive,0,sexism
pena,pitty,pena,sanction,0,pislik,offensive,0,0
mamata,easy life,0,0,0,0,offensive,1,0
propina,bribe,propina,corrompre,bestechen,rüşvet,offensive,1,0
propineira,bribe sucker,rutinaria,0,0,rüşver alan,offensive,1,0
morfética,loathsome,0,morphétique,widerlich,iğrenç,offensive,1,0
171,deceiver,0,0,Betrüger,düzenbaz,offensive,0,0
quenga,slut,0,pute,Schlampe,ahlaksız kadın,offensive,1,sexism
vadia,bitch,perra,salope,Schlampe,orospu,offensive,1,sexism
vadio,bitch,perro,errant,Schlampe,orospu,offensive,1,0
devolva o dinheiro,give back my money,devuelva el dinero,rendre l'argent,0,0,offensive,0,0
fingida,sly,fingida,feinte,0,sinsi,offensive,1,0
fingido,phoney,fingido,prétendument,0,yapmacık,offensive,1,0
tranqueira,phoney,cacharro,0,0,değersiz,offensive,1,0
desqualificado,disqualified,descualificado,disqualifié,disqualifiziert,diskalifiye edilmiş,offensive,0,0
desqualificada,disqualified,descualificada,disqualifié,disqualifiziert,diskalifiye edilmiş,offensive,0,0
enganadora,liar,engañadora,tromperie,Lügner,yalancı,offensive,1,0
rato,rat,ratón,souris,Ratte,fare,offensive,0,0
vai catar coco,go find something to do,0,aller chercher des noix de coco,0,yapacak bir şey bul,offensive/Brazil,0,0
catar coquinho,get lost,0,0,Verpiss dich,siktir git,offensive/Brazil,0,0
vigarista,scammer,estafador,escroc,Betrüger,düzenbaz,offensive,1,0
boa de sela,nice rider,0,bonne conduite,0,iyi eyer,offensive/Brazil,1,0
tranbiqueira,scumbag,0,0,Betrüger,şerefsiz,offensive,1,0
vai procurar tua turma,find your own people,busca tu clase,allez trouver votre classe,Verpiss dich zu deinesgleichen,kendi sınıfını ara,offensive,0,0
dissimulada,sly,disimulada,sans couverture,0,sinsi,offensive,1,0
dissimulado,sly,disimulado,déguisé,0,sinsi,offensive,1,0
demônio,devil,demonio,démon,Teufel,şeytan,offensive,0,0
bagaceira,trashbag,orujo,0,Drecksack,çöp poşeti,offensive,1,0
omelete podre,rotter,omelete podrido,omelette pourrie,0,çürük omlet,offensive,1,0
comedora de propina,grafting crook,comedora de propina,mangeur de pots-de-vin,0,rüşver yiyen,offensive,1,0
dinheiro sujo,dirty money,dinero sucio,argent sale,dreckiges Geld,kirli para,offensive,0,0
galinha,whore,gallina,poulet,Schlampe,zampara,offensive,0,sexism
esquerda demoníaca,devilish leftists,izquierda demoníaca,gauche démoniaque,0,şeytani solcu,offensive,1,partyism
velha,old,vieja,vieux,alt,kocakarı,offensive,0,0
vá trabalhar,get a job,vaya a trabajar,se mettre au travail,such dir einen Job,iş bul,offensive,0,0
biruta,cuckoo,chiflado,bouée,0,kuş beyinli,offensive,1,0
vai procurar sua turma,be with your own people,busca tu clase,va et trouve ta classe,Verpiss dich zu deinesgleichen,kendi sınıfını ara,offensive,0,0
lava a boca,wash that mouth,lava tu boca,lave-toi la bouche,0,ağzını yıka,offensive,0,0
caráter duvidoso,scammer,carácter duvidoso,caractère douteux,Betrüger,dolandırıcı,offensive,1,0
louca,crazy,loca,fou,Verrückte ,deli,offensive,0,0
louco,crazy,loco,fou,Verrückter ,deli,offensive,0,0
socialista de merda,fucking socialist,socialista de mierda,socialiste de merde,scheiß Sozialist,lanet sosyalist,swear words,1,partyism
abobrinha,jibber jabber,calabaza,courgette,Geschwafel,zırva,offensive,0,0
vaca véia,old bitch,0,vache brune,alte Schlampe,yaşlı kaltak,offensive,1,sexism
credo,yuck,credo,credo,ew,ıyy,offensive,1,0
doente,sick,loco,malade,krank,hasta,offensive,0,0
boquinha secou,0,0,0,0,0,offensive/Brazil,1,0
moleque,kid,adolecente,morveux,Kind,genç,offensive,0,0
selva,jungle,selva,jungle,0,keşmekeş,offensive,0,0
cusinho,asshole,imbécil,0,Arschloch,pislik,offensive,1,0
vaza,scram,lárgate,fuite,Geh weg / Verpiss dich,defol git,swear words,0,0
petralhada,0,0,0,0,0,offensive/Brazil,1,partyism
presiBozo,0,0,0,0,0,offensive/Brazil,1,partyism
baixo nível,low-level,bajo nivel,faible niveau,niveaulos,alt level,offensive,0,0
caia fora,beat it,vete,sortir,0,sıvışmak,swear words,0,0
traidor,traitor,traidor,traître,Verräter,hain,offensive,1,0
fracassado,loserl,fracasado,échoué,loser,başarısız kimse,offensive,1,0
fracassada,loser,fracasada,échoué,loser,başarısız kimse,offensive,1,0
sol quadrado,in jail,entre rejas,0,Knasti,hapishane,offensive/Brazil,1,0
ai sabe roubar,con / scammer,sabe robar,je suis roubar,Betrüger,çalmayı bilen,offensive,1,0
caixa 2,money laudring,caja 2,0,Geldwäsche,kara para aklamak,offensive/Brazil,0,0
caixa dois,money laudring,caja 2,0,Geldwäsche,kara para aklamak,offensive/Brazil,0,0
faz alguma coisa útil,do something useful,haz alguna cosa útil,fait quelque chose d'utile,mach dich mal nützlich,işe yarar bir şey yapmak,offensive,0,0
bozo,0,payaso,0,0,0,offensive/Brazil,0,partyism
xucro,crass,grosero,0,0,dangalak,swear words,1,0
chucro,crass,grosero,0,0,dangalak,swear words,1,0
monstro,monster,mounstro,monstre,Monster/ Ungeheuer,canavar,swear words,0,0
gagá,coockoo,senil,0,0,bunak,offensive,1,0
velha gagá,cockooo,viejo senil,0,0,yaşlı bunak,offensive,1,0
lunático,lunatic,lunático,lunatique,0,fıttırık,offensive,0,0
besta fera,beast,bestia fiera,bête ,Monster/ Ungeheuer,canavar,offensive,1,0
besta-fera,beast,bestia fiera,bête,Monster/ Ungeheuer,canavar,offensive,1,0
desrespeitoso,disrespectuf,irrespetuoso,irrespectueux,respektlos,saygısız,offensive,0,0
atrás da grade,serve time,detrás de la rejilla,temps de service,0,0,offensive,0,0
idiotice,stupid things,idiotez,idioties,dumme Sache,gezi zekalılık,offensive,1,0
besteira,stupid things,estupidez,idioties,dumme Sache,saçmalık,offensive,0,0
cocô,shit,caca,caca,scheiße,bok,offensive,0,0
falador de merda,trash talker,hablador de mierda,mal-causeur,Müll reden,boktan konuşmacı,swear words,1,0
babaquice,fucker,imbecilidad,enculé,fucker,adi kimse,offensive,1,0
merda ambulante,moving shit,mierda ambulante,déplacer la merde,0,yürüyen bok,swear words,1,0
caga pela boca,shit through the mouth,caga por la boca,chier par la bouche,scheiße labern,ağzından lağım akan kişi,swear words,1,0
bolsofurado,0,0,0,0,0,offensive/Brazil,1,partyism
bolsofãs,0,0,0,0,0,offensive/Brazil,0,partyism
truculento,combative,horrendo,combatif,,gaddar,offensive,1,0
energúmeno,piece of junk,energumeno,camelote,Stück scheiße,hurda parçası,offensive,1,0
Imbeciloide,imbecile,imbécil,imbecile,Dummkopf,embesil,offensive,1,0
podia perder a voz,(pron.) could lose their voice,podia perder la voz,pourraient perdre leur voix,0,kapa çeneni,offensive,1,0
sociopata,sociopath,sociopata,sociopathe,Soziopath,sosyopat,offensive,0,0
boca de Lixo,trash mouth,malhablado,bouche déguelasse,0,lağım ağızlı,swear words,0,0
esse ser,this creature,esa criatura,cette créature,Kreatur,yaratık,offensive,0,0
treta,beef,mentira,bœuf,0,kavga,offensive/Brazil,0,0
xenofóbico,xenophobic,xenofóbico,xenophobie,Fremdenfeindlich ,aşırı milliyetçi,offensive,0,0
bolsonada,0,0,0,0,0,offensive/Brazil,1,partyism
burlesca,burlesque,burlesca,burlesue,0,kötü taklit,offensive,0,0
cavalo sem freio,horseplay,caballo sin freno,chahut,0,eşek şakası,swear words,1,0
nazista,nazi,nazista,nazi,Nazi,nazi,offensive,0,0
cavalo,horse,caballo,chéval,Pferd,at,offensive,0,0
minions,minions,minions,minions,Minions,köleler,offensive,0,partyism
manipulador,manipulator,manipulador,manipulateur,Manipulator ,manipülatör,offensive,1,0
manipuladora,manipulator,manipuladora,manipulation,Manipulator ,manipülatif,offensive,1,0
panaca,wimp,inocentón,mauviette,Schwächling,korkak,offensive,1,0
bozzolino,0,0,0,0,0,offensive/Brazil,1,partyism
direitalha,cuckservative,0,conservateur de cucks,0,dönek muhafazakar,offensive/Brazil,1,partyism
fala merda,talking shit,habla mierda,parler de la merde,scheiße labern,boktan şeylerden konuşma,swear words,1,0
evacua pela boca,shit through the mouth,evacua por la boca,sortir de la merde par la bouche,scheiße labern,ağzından lağım akan kişi,swear words,1,0
maléfico,evil,maléfico,maléfique,böse / bösartig,kötü,offensive,1,0
recalcado,jealous,reprimido,jaloux,eifersüchtig sein,kıskanç,offensive,1,0
recalcada,jealous,reprimida,jaloux,eifersüchtig sein,kıskanç,offensive,1,0
autoritário,authoritarian,autoritario,autoritaire,0,otoriter,offensive,0,0
autoritária,authoritarian,autoritaria,autoritaire,0,otoriter,offensive,0,0
Indigesto,distasteful,sin digerir,répugnant,0,hazmı zor,offensive,0,0
diarreia verbal,verbal diahrrea ,diarrea verbal,diahrrée verbale ,Sprechdurchfall,çenesi düşük,swear words,1,0
tosco,dull,tosco,terne,langweilig,kaba,offensive,1,0
assassino,murderer,asesino,meurtrier,Mörder,katil,offensive,1,0
assassina,murderer,asesina,meurtrier,Mörderin,katil,offensive,1,0
pica,dick,pija,bite,Schwanz,sik,swear words,0,0
buceta,pussy,coño,minoune,Pussy,am,swear words,1,0
puteiro,whorehouse,puterio,bordel,Puff,genelev,offensive,0,sexism
não vale o que o gato enterra,as good as a piece of shit,no vale ni una mierda,aussi bon qu'une merde,ein Stück scheiße sein,bok çuvalı,offensive,1,0
conseguiu formular uma frase inteira0,can you even phrase a sentence0,conseguiste formular la frase entera0,Tu peux même faire une phrase 0,kannst du überhaupt einen vernünftigen Satz herausbringen0,iki kelimeyi bir araya getiremez,offensive,0,0
anta,stupid,tapir,stupide,dumm,aptal,offensive,0,0
bolsoloide,0,0,0,0,0,offensive/Brazil,1,partyism
terrorista,terrorist,terrorista,terroriste,Terrorist ,terörist,offensive,1,0
capivara louca,bat crazy,capibara loca,fou furieux,verrückt,deli,swear words,1,0
torturador,torturer,torturador,tortionnaire,Peiniger / Folterknecht,işkenceci,offensive,1,0
bocó,fool,tonto,idiot,Idiot,aptal,offensive,1,0
dar um pau,beat the shit out of [pron],patearle el trasero,battre la merde hors de,die Scheiße aus dir raus prügeln,seni fena döverim,swear words,1,0
pulha,moron,canalla,crétin,Idiot,geri zekalı,offensive,1,0
calhorda,despicable,putilla,méprisable,verächtlich,değersiz,offensive,1,0
invejoso,jealous,envidioso,jaloux,neidisch,kıskanç,offensive,1,0
invejosa,jealous,envidiosa,jaloux,neidisch,kıskanç,offensive,1,0
babar ovo,to kiss (someone's) ass,adular,lécher le cul (de quelqu'un),Arschkriecher,yalakalık,offensive,1,0
coisa ruim,bad thing,cosa ruin,mauvaise chose,üble Sache,bela,offensive,1,0
ser da treva,evil,ser de las tinieblas,maléfique,böse / bösartig,kötü kişiliklilik,offensive,0,0
espirito de porco,obnoxious,espiritu de puerco,odieux,widerlich,iğrenç,swear words,1,0
rato de esgoto,sewer rat,rata de alcantarilla,rat d'égout,Kanalratte,lağım faresi,swear words,0,0
vai queimar no inferno,go burn in hell,se va quemar en el infierno,allez brûler en enfer,Schmor in der Hölle,Cehennemde yan,swear words,1,0
jaguarada,scammer,0,arnaqueur,Betrüger,dolandırıcı,offensive,1,0
stflixo,supreme court of trash,0,cour suprême des poubelles,0,0,offensive/Brazil,1,0
falcatrua,fraud,estafa,fraude,Betrug,sahtekar,offensive,1,0
rabo preso,bound to death,preocupado,lié à la mort,0,kuyruğu sıkışmış,offensive,1,0
art. 142,Martial law,0,Loi martiale,0,sıkıyönetim,offensive/Brazil,0,apology  to  dictatorship
intervenção militar já,military intervention right away,intervención militar ya,une intervention militaire immédiate,0,askeri darbe,offensive,1,0
abutre,vulture,0,vautour,Geier,akbaba,offensive,0,0
chiqueiro,dirty hole,corral,trou sale,Drecksloch,pis yer,offensive,0,0
advogadinho,little lawyer.,abogadito,petit avocat,kleiner Anwalt,küçük avukat,offensive,1,0
bandido de toga,legal con,bandido de toga,conflit juridique,0,yasal dolandırıcılık,offensive,1,0
pau no rabo,asshole,palo en el culo,trou du cul,Arschloch,pislik,swear words,1,0
pau entrando no rabo,drilling down,palo entrando en el rabo,le forage,0,0,swear words,1,0
colarinho branco,white collar,cuello blanco,col blanc,weiße Weste,beyaz yaka,offensive,1,0
colarinho-branco,white collar,cuello blanco,col blanc,weiße Weste,beyaz yaka,offensive,1,0
infâmia,infamy,infamia,infamie,Ehrenlos,rezillik,offensive,1,0
Intervenção militar no STF,military intervention in the supreme court,,intervention militaire à la cour suprême,0,yargıtaya askeri müdehale,offensive/Brazil,1,apology  to  dictatorship
vão para o inferno,go to hell,van al infierno,va au diable,Fahr zur Hölle,Cehenneme git,swear words,1,0
papel higiênico,toilet paper ,papel higiénico,papier toilette,Klopapier,tuvalet kağıdı,offensive,1,0
cambada de vagabundo,fucking twats,puñado de inútiles,putain de connards,0,bir avuç işeyaramaz,offensive,1,0
corja do mal,bad blood,chusma del mal,mauvais sang,0,kanı bozuk,offensive,1,0
ptfake,0,0,0,0,0,offensive/Brazil,1,partyism
mequetrefe,piece of shit,mequetrefe,tas de merde,Stück scheiße,bok parçası,offensive,1,0
esgoto,sewer,alcantarilla,égouts,Abwasser,lağım,offensive,0,0
roubalheira,scam ,fraude,fraude,Betrug,kazıklamak,offensive,1,0
jornaleco,tabloid,periodicucho,presse à scandale,Boulevardzeitung,tabloid,offensive,1,0
cacique,gang leader,jefe,chef de gang,Gang Anfrührer,çete lideri,offensive,0,0
salafrário,scammer,sinverguenza,escro,Schurke / Schuft,kaba adam,offensive,1,0
intervenção militar,military intervention,intervención militar,intervention militaire,0,askeri müdehale,offensive,0,apology  to  dictatorship
borrando na calça,scared shitless,cagándose en los pantalones,complètement effrayé,0,ödü bokuna karışmış,offensive,1,0
cão,dog,perro,chien,(Du) Hund,köpek,offensive,0,0
militontos,dumb woke people,militontos,des gens stupides et éveillés,0,0,offensive/Brazil,1,partyism
banana,wimp,banana,mauviette,Schwächling,penis,offensive,0,0
circo,hellhole,circo,trou de l'enfer,0,cehennem çukuru,offensive,0,0
seita pt,0,0,0,0,0,offensive/Brazil,1,partyism
mercenário,mercenary,mercenario,mercenaire,Söldner,paragöz,offensive,1,0
covil,lair ,cueva,tanière,Lügner,batakhane,offensive,0,0
cobra,snake,cobra,serpent,Schlange,yılan,offensive,0,0
carniceiro,thug,carnicero,voyou,Schläger,cani,offensive,0,0
porrada,beat,paliza,battre,0,dövmek,offensive,1,0
marionete,puppet,marioneta,marionnette,Marionette,kukla,offensive,0,0
mi mi mi,whinig,mi mi mi,pleurnicher,mimimi,mız mız,offensive/Brazil,1,0
entojada,obnoxious,mareada,odieux,widerlich,mide bulandırıcı,offensive,1,0
enjojado,obnoxious,mareado,odieux,widerlich,mide bulandırıcı,offensive,1,0
comer o cu,fuck someone up,comer el culo,baiser quelqu'un,jemanden fertig machen,birini sikmek,swear words,1,0
atriz,actress,actriz,actrice,Schauspielerin,0,offensive,0,0
ator,actor,actor,acteur,Schauspielerin,0,offensive,0,0
histérica,hysterical,histérica,hystérique,hysterisch,histerik,offensive,0,sexism
histérico,hysterical,histérico,hystérique,hysterisch,histerik,offensive,0,0
laranja,stooge,naranja,larbin,0,yardakçı,offensive,0,0
laranjinha,stooge,naranjita,larbin,0,yardakçı,offensive,0,0
conversa para boi dormir,jibber jabber,conversación para que el niño duerma,jacasser,Geschwafel,gevezelik,offensive,1,0
conversa pra boi dormir,jibber jabber,conversación para que el niño duerma,jacasser,Geschwafel,gevezelik,offensive,1,0
meu ovo,my balls,mi huevo,mes couilles,meine Eier,taşaklarım,swear words,0,0
bozominions,0,0,0,0,0,offensive/Brazil,1,partyism
seu bosta,piece of shit,pedazo de mierda,tas de merde,Stück scheiße,bok parçası,swear words,1,0
seu merda,piece of shit,su mierda,tas de merde,Stück scheiße,bok parçası,swear words,1,0
mimizenta,whiny,quejumbrosa,pleurnichard,jammern,mız mız,offensive/Brazil,1,0
mimizento,whiny,quejumbroso,pleurnichard,jammern,mız mız,offensive/Brazil,1,0
branco fazendo branquice,white trash folks,blanco haciendo blanquicie,les gens de race blanche,0,0,offensive,1,racism
mentiroso,liar,mentiroso,menteur,Lügner,yalancı,offensive,1,0
mentirosa,liar,mentirosa,menteur,Lügner,yalancı,offensive,1,0
bandidagem,scam,bandolerismo,escroquerie,Betrug,haydutluk,offensive,1,0
farsa,fraud,farsa,fraude,Betrug,hile,offensive,1,0
ameba,ameba,ameba,amibe,Amöbe,kan emici,offensive,0,0
vira casaca,turncoat,cambia chaqueta,renégat,0,dönek,offensive,1,0
queimação de filme,raining on (someone's) parade,0,pleuvoir sur la parade (de quelqu'un),0,0,offensive,0,0
queimar o filme,to rain (someone's) parade,0,pleuvoir sur la parade (de quelqu'un),0,0,offensive,0,0
pistoleira,whore,pistolera,pute,Schlampe,orospu,offensive,1,sexism
pistoleiro,hitman,pistolero,tueur à gages,Killer,kiralık katil,offensive,1,0
seboso,greasy,seboso,graisseux.,fettig,yapışkan,offensive,0,0
sebosa,greasy,sebosa,graisseux.,fettig,yapışkan,offensive,0,0
merda,shitty ,mierda,merdique ,scheiße,boktan,offensive,1,0
burraldo,dumb and dumbier,burrazo,muet et plus muet,dumm und dümmer,salak ile avanak,offensive,1,0
burralda,dumb and dumbier,burraza,muet et plus muet,dumm und dümmer,salak ile avanak,offensive,1,0
canalhada,bad blood,canallada,mauvais sang,böses Blut,alçak,offensive,1,0
pagar mico,be the butt of the joke,pasar verguenza,be the butt of the joke,0,utanç,offensive,0,0
mico,butt of the joke,verguenza,la cible de la plaisanterie,0,alay konusu,offensive,0,0
globosta,0,0,0,0,0,offensive/Brazil,1,0
partido da treva,damned party,fiesta oscura,fête maudite,0,lanetli parti,offensive,1,partyism
toma no fiofo,fuck you,0,Va te faire foutre !,Fick dich,siktir git,swear words,1,0
orelhuda,dumb,orejuda,stupide,dumm,aptal,offensive,1,0
pau mandado,spineless,sacolargo,sans envergure,Rückgratlos,karaktersiz,offensive,1,0
palerma,fool,tonto,idiot,Idiot,ahmak,offensive,1,0
vai se fuder,fuck you,jodete,Va te faire foutre !,Fick dich,siktir git,swear words,1,0
lixão,trashbag,basurero,sac poubelle,Drecksack,çöp yığını,offensive,0,0
fuça,face,cara,visage,0,surat,offensive,0,0
cara de cú,looking like you need to take a dump,cara de culo,vous avez l'air d'avoir besoin de chier,0,göt herif,swear words,1,0
cadela,bitch,perro,salope,Schlampe,kancık,offensive,0,sexism
tola,fool,tonta,idiot,Idiot,dangalak,offensive,1,0
cara de tacho,looking like you need to take a dump,vieja arrugada,vous avez l'air d'avoir besoin de chier,0,0,offensive,1,0
intragável,unbearable,desagradable,insupportable,unerträglich,tatsız,offensive,0,0
desonesto,dishonest,deshonesto,malhonnête,unehrlich,güvenilmez,offensive,1,0
desonesta,dishonest,deshonesta,malhonnête,unehrlich,güvenilmez,offensive,1,0
feiura,ugly ,fealdad,laid ,hässlich,çirkin,offensive,1,0
esquerdista do cacete,fucking lefitist,gilipollas de izquierda,putain de léfitiste,scheiß Linke,solcu pislik,swear words,1,partyism
fofoqueira,tattler,chismosa,Tatoueur,Petze,gammaz,offensive,1,0
fofoqueiro,tattler,chismoso,Tatoueur,Petze,gammaz,offensive,1,0
velhota,oldie,vieja,vieux site,0,ihtiyar,offensive,1,0
chacota,butt of the joke,chacota,la cible de la plaisanterie,0,alay,offensive,1,0
velhote,oldie,viejo,vieux site,0,yaşlı bunak,offensive,1,0
sifuuuuuuu,fuuuuuuuuck,0,putain de  ,scheeeeeiße,sikeriiiiiiim,swear words,1,0
sifu,fuuuuuuuuck,0,putain de  ,fuuuuck,sikerim,swear words,1,0
frustrada sexual,sexually flustered,frustrada sexual,agité sexuellement,0,azgın,offensive,1,sexism
desavisado,innocent,inconsciente,inncoent,unschuldig,pervasız,offensive,0,0
retardada,retard,retrasada,Attardé,behindert,geri zekalı,offensive,0,0
ptralhada,libtard,0,libido,0,libido,offensive,1,partyism
boicotar,backlash,boicotear,contrecoup,Gegenreaktion,boykot,offensive,1,0
abestado,stupid,estúpido,stupide,dumm,aptal,offensive,1,0
abestada,stupid,estúpida,stupide,dumm,aptal,offensive,1,0
dar um fora,discard / blow something off,0,jeter / se débarrasser de quelque chose,0,0,offensive,1,0
dando fora,blow off,rechazo,faire sauter,0,tembellik etmek,offensive,1,0
greluda,wet ass pussy,0,cul mouillé chatte,feuchte Pussy,amı büyük kadın,offensive,1,sexism
